#{"t_start": 1781130615.036863, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
115.472576,10,0.823022,1.0,True,10,0,0,568.3428478240967,835.6306133270264,34.46640205383301,568.3428478240967,completed
831.299794,10,0.826512,1.0,True,10,0,0,431.03559732437134,518.6404900550842,21.478715419769287,431.03559732437134,completed
356.74853,10,0.829813,1.0,True,10,0,0,554.8520793914795,674.5336475372314,31.667660522460938,554.8520793914795,completed
-63.402256,10,0.833446,1.0,True,10,0,0,790.4246025085449,790.4246025085449,40.48402156829834,790.4246025085449,completed
717.051473,10,0.836691,1.0,True,10,0,0,570.2506294250488,570.2506294250488,20.176122856140136,570.2506294250488,completed
-1013.078251,10,0.839952,1.0,True,10,0,0,729.6664600372314,1025.5662517547607,73.10777492523194,729.6664600372314,completed
-158.503452,10,0.84321,1.0,True,10,0,0,607.4055213928223,829.958122253418,46.05531024932861,607.4055213928223,completed
454.349084,10,0.846408,1.0,True,10,0,0,559.1858463287354,669.1723880767822,28.20248908996582,559.1858463287354,completed
-416.374161,10,0.850091,1.0,True,10,0,0,702.0254306793213,877.4211235046387,52.24978332519531,702.0254306793213,completed
645.025343,10,0.853406,1.0,True,10,0,0,460.6575975418091,596.0193367004395,23.147941398620606,460.6575975418091,completed
1241.774098,10,0.856684,1.0,True,10,0,0,324.9996004104614,363.73904037475586,12.655659866333007,324.9996004104614,completed
420.381711,10,0.860036,1.0,True,10,0,0,608.9751710891724,678.1131372451782,27.91543674468994,608.9751710891724,completed
32.400614,10,0.863297,1.0,True,10,0,0,566.9150123596191,773.1519737243652,40.84916038513184,566.9150123596191,completed
777.319886,10,0.866542,1.0,True,10,0,0,434.8142795562744,491.4304676055908,24.310901594161987,434.8142795562744,completed
470.947114,10,0.869753,1.0,True,10,0,0,504.3798370361328,667.9803085327148,27.83233222961426,504.3798370361328,completed
798.628811,10,0.873165,1.0,True,10,0,0,467.7696485519409,507.5919361114502,21.367913484573364,467.7696485519409,completed
654.443779,10,0.876462,1.0,True,10,0,0,455.15236473083496,511.7212333679199,29.978572273254393,455.15236473083496,completed
177.786882,10,0.879766,1.0,True,10,0,0,594.5540180206299,749.7742099761963,36.536453819274904,594.5540180206299,completed
16.148024,10,0.883463,1.0,True,10,0,0,599.5766506195068,725.1931190490723,44.569677734375,599.5766506195068,completed
80.954763,10,0.886691,1.0,True,10,0,0,662.3289985656738,814.8532371520996,35.76546382904053,662.3289985656738,completed
214.732878,10,0.889859,1.0,True,10,0,0,564.812479019165,652.5654182434082,38.42788372039795,564.812479019165,completed
-77.334974,10,0.893125,1.0,True,10,0,0,728.6498870849609,964.3041534423828,32.22052364349365,728.6498870849609,completed
-20.862239,10,0.896296,1.0,True,10,0,0,666.8681774139404,841.6282062530518,39.24751529693604,666.8681774139404,completed
-904.316842,10,0.900003,1.0,True,10,0,0,881.253059387207,1150.7868881225586,57.4849714756012,881.253059387207,completed
555.794242,10,0.903258,1.0,True,10,0,0,504.9179992675781,592.522891998291,26.47398886680603,504.9179992675781,completed
372.531498,10,0.90649,1.0,True,10,0,0,479.29177141189575,658.7805600166321,35.261741161346436,479.29177141189575,completed
566.529371,10,0.909692,1.0,True,10,0,0,625.3540344238281,625.3540344238281,24.26843852996826,625.3540344238281,completed
171.609658,10,0.912859,1.0,True,10,0,0,552.124195098877,692.9481773376465,38.743641471862794,552.124195098877,completed
-163.227785,10,0.916344,1.0,True,10,0,0,627.4176940917969,735.0429916381836,50.91149387359619,627.4176940917969,completed
466.222871,10,0.919528,1.0,True,10,0,0,680.4959259033203,680.4959259033203,24.596702766418456,680.4959259033203,completed
636.067977,10,0.922722,1.0,True,10,0,0,511.339492559433,635.5382723808289,23.651811408996583,511.339492559433,completed
-24.525285,10,0.925976,1.0,True,10,0,0,619.326358795166,783.3321762084961,41.56320381164551,619.326358795166,completed
168.638207,10,0.929189,1.0,True,10,0,0,540.7679920196533,719.2727527618408,37.785048484802246,540.7679920196533,completed
716.92317,10,0.93277,1.0,True,10,0,0,498.54905223846436,561.888542175293,22.7935001373291,498.54905223846436,completed
-336.430612,10,0.935999,1.0,True,10,0,0,784.801836013794,928.6791954040527,44.20011978149414,784.801836013794,completed
489.857806,10,0.939169,1.0,True,10,0,0,590.9233093261719,780.7998733520508,20.585417366027833,590.9233093261719,completed
-1523.378635,10,0.94233,1.0,True,10,0,0,931.2703475952148,1206.454216003418,83.8758394241333,931.2703475952148,completed
642.088779,10,0.945477,1.0,True,10,0,0,434.9000549316406,580.5010986328125,26.170998954772948,434.9000549316406,completed
-237.421943,10,0.948868,1.0,True,10,0,0,606.5677299499512,833.764347076416,49.817026138305664,606.5677299499512,completed
-762.16333,10,0.958262,1.0,True,10,0,0,621.2853164672852,931.110652923584,71.50852108001709,621.2853164672852,completed
-17.446255,10,0.962196,1.0,True,10,0,0,682.0928564071655,821.6680774688721,37.2177827835083,682.0928564071655,completed
839.782865,10,0.966462,1.0,True,10,0,0,469.33786964416504,538.4558334350586,18.815649843215944,469.33786964416504,completed
544.126435,10,0.969918,1.0,True,10,0,0,469.4904270172119,605.397819519043,28.662085342407227,469.4904270172119,completed
662.123358,10,0.97331,1.0,True,10,0,0,609.2096786499023,834.2992305755615,10.981084060668945,609.2096786499023,completed
314.669138,10,0.976863,1.0,True,10,0,0,545.3201446533203,722.4446868896484,31.422480964660643,545.3201446533203,completed
775.774804,10,0.980733,1.0,True,10,0,0,496.85683250427246,565.5918922424316,20.948000741004943,496.85683250427246,completed
-225.998566,10,0.98428,1.0,True,10,0,0,825.6470108032227,825.6470108032227,43.11993236541748,825.6470108032227,completed
277.97738,10,0.987582,1.0,True,10,0,0,620.0091743469238,839.2259864807129,25.843426513671876,620.0091743469238,completed
584.601437,10,0.990858,1.0,True,10,0,0,492.35303497314453,639.4333801269531,26.58050117492676,492.35303497314453,completed
218.340596,10,0.994163,1.0,True,10,0,0,579.3083229064941,677.5230407714844,35.18995327949524,579.3083229064941,completed
661.192805,10,0.997987,1.0,True,10,0,0,520.3817901611328,576.9979782104492,22.844017267227173,520.3817901611328,completed
